Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Result;Action
NegativeReply;2013/07/02 08:00:07;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;13;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 08:30:53;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;10;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 09:00:39;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;7;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 09:30:25;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;8;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 10:00:13;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23200;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 10:30:59;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 11:00:46;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 11:30:33;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;10;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 12:00:20;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 12:30:07;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;10;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 13:00:54;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07800;0;153.16.22.216/29;11;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 14:00:28;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;3;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 14:30:15;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;3;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 15:00:02;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;11;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 15:30:49;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;7;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 16:00:35;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;8;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 16:30:23;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;5;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 17:00:09;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07800;0;153.16.22.216/29;8;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 17:30:55;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23200;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 18:00:43;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;13;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 18:30:29;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 19:00:17;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;12;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 19:30:04;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23200;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 20:00:52;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 20:30:39;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 21:00:27;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 21:30:14;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;1;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 22:00:01;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;4;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 22:30:47;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;8;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 23:00:35;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;16;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/02 23:30:22;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;16;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 00:00:09;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23200;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 00:30:58;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 01:00:46;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;16;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 01:30:34;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;10;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 02:00:21;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 02:30:08;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;7;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 03:00:55;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07700;0;153.16.22.216/29;14;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 03:30:42;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23000;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 04:00:29;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23000;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 04:30:16;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;11;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 05:00:03;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 05:30:50;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23000;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 06:00:37;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.23200;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 06:30:25;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;8;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 07:00:12;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;9;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 07:30:09;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;9;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 08:00:56;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;10;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 08:30:43;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 09:00:30;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/29;15;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 09:30:17;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.07600;0;153.16.22.216/32;2;0;0;"""Negative cache entry""";forward-native
NegativeReply;2013/07/03 10:00:05;153.16.22.216;149.20.48.61;129.32.84.161;149.20.48.61;153.16.22.216;149.20.48.61;0.22900;0;153.16.22.216/32;1;0;0;"""Negative cache entry""";forward-native
