Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Locator_Number;Locator_Addr;Locator_State;Locator_Priority;Locator_Weight
RoundNormal;2013/07/02 08:00:34;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38100;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 08:30:20;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38000;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 09:00:05;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38100;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 09:30:51;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 10:00:36;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.39400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 10:30:23;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.39700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 11:00:09;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 11:30:56;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 12:00:41;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 12:30:27;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 13:00:12;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 14:00:00;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 14:30:46;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 15:00:33;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 15:30:19;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 16:00:05;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 16:30:52;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.39100;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 17:00:38;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 17:30:25;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 18:00:11;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 18:30:58;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 19:00:44;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 19:30:30;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.39300;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 20:00:16;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 20:30:02;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38500;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 21:00:48;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38500;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 21:30:36;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 22:00:23;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 22:30:10;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 23:00:56;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 23:30:42;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 00:00:29;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38900;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 00:30:18;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 01:00:04;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38500;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 01:30:51;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 02:00:38;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 02:30:24;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38500;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 03:00:11;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 03:30:58;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 04:00:45;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38300;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 04:30:32;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.31.125;0.38800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/03 05:00:18;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.194.7;0.35500;1;153.16.18.176/28;60;1;0;0;122.177.194.7;up;1;100
RoundNormal;2013/07/03 05:30:05;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.194.7;0.35500;1;153.16.18.176/28;60;1;0;0;122.177.194.7;up;1;100
NegativeReply;2013/07/03 06:00:51;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;149.20.48.61;0.08300;0;153.16.18.176/28;2;0;0;"""Negative cache entry""";forward-native
RoundNormal;2013/07/03 06:30:39;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.40300;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 07:00:25;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.40900;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 07:30:12;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.40400;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 08:00:59;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.40300;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 08:30:46;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.40500;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 09:00:33;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.39600;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 09:30:20;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.43900;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 10:00:07;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.38.120;0.44900;1;153.16.18.176/28;60;1;0;0;122.177.38.120;up;1;100
RoundNormal;2013/07/03 10:30:53;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.19.223;0.43200;1;153.16.18.176/28;60;1;0;0;122.177.19.223;up;1;100
RoundNormal;2013/07/03 11:00:39;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.19.223;0.40400;1;153.16.18.176/28;60;1;0;0;122.177.19.223;up;1;100
RoundNormal;2013/07/03 11:30:26;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.19.223;0.39600;1;153.16.18.176/28;60;1;0;0;122.177.19.223;up;1;100
RoundNormal;2013/07/03 12:00:12;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.19.223;0.39600;1;153.16.18.176/28;60;1;0;0;122.177.19.223;up;1;100
RoundNormal;2013/07/03 12:30:58;153.16.18.176;149.20.48.61;128.119.247.250;149.20.48.61;153.16.18.176;122.177.55.187;0.38300;1;153.16.18.176/28;60;1;0;0;122.177.55.187;up;1;100
