Round Type;Date;EID;Resolver;Request_SRC;Request_DST;Request_FOR;Reply_SRC;RTT;LOCATOR_Count;MAPPING_ENTRY;TTL;AUTH;MOBILE;Locator_Number;Locator_Addr;Locator_State;Locator_Priority;Locator_Weight
RoundNormal;2013/07/02 07:30:47;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 08:00:37;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42700;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 08:30:24;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 09:00:11;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42600;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 09:30:59;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.42800;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 10:00:48;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 10:30:34;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43400;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 11:00:23;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43300;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 11:30:13;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43500;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
RoundNormal;2013/07/02 12:00:04;153.16.18.176;149.20.48.61;193.166.160.99;149.20.48.61;153.16.18.176;122.177.31.125;0.43200;1;153.16.18.176/28;60;1;0;0;122.177.31.125;up;1;100
