Vantage;Log File Name;EID;Resolver;MAPPING_ENTRY;Coherence;RLOC set Consistence;TE coherent;Round Type Set;Different Locator Count;Locators Count Set;Different Locators;Locators set;new deployement number;change time;change pattern;case;RLOC Set
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-149.20.48.61.log;0.0.0.0;149.20.48.61;0.0.0.0/3;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-149.20.48.77.log;0.0.0.0;149.20.48.77;0.0.0.0/3;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-173.36.254.164.log;0.0.0.0;173.36.254.164;;True;True;True;RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-193.162.145.50.log;0.0.0.0;193.162.145.50;;True;True;True;RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-195.50.116.18.log;0.0.0.0;195.50.116.18;0.0.0.0/3;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-198.6.255.37.log;0.0.0.0;198.6.255.37;0.0.0.0/3;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-198.6.255.40.log;0.0.0.0;198.6.255.40;0.0.0.0/3;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-202.51.247.10.log;0.0.0.0;202.51.247.10;;True;True;True;RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-202.214.86.252.log;0.0.0.0;202.214.86.252;0.0.0.0/3,153.16.49.240/28;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
wiilab;/Users/qsong/Documents/PlanetLab/wiilab/mappings/planetlab2-EID-0.0.0.0-MR-206.223.132.89.log;0.0.0.0;206.223.132.89;0.0.0.0/3;True;True;True;NegativeReply,RoundNoReply;0;;0;;0;0;0;0;72
