Vantage;EID;Locator Count Consistence
liege;0.0.0.0;True
liege;32.0.0.0;True
liege;36.0.0.0;True
liege;37.0.0.0;True
liege;37.64.0.0;True
liege;37.72.0.0;True
liege;37.76.0.0;True
liege;37.77.0.0;True
liege;37.77.32.0;True
liege;37.77.48.0;True
liege;37.77.56.0;True
liege;37.77.56.32;True
liege;37.77.56.34;True
liege;37.77.56.36;True
liege;37.77.56.40;True
liege;37.77.56.48;True
liege;37.77.56.64;True
liege;37.77.56.128;True
liege;37.77.57.0;True
liege;37.77.57.8;True
liege;37.77.57.16;True
liege;37.77.57.24;True
liege;37.77.57.32;True
liege;37.77.57.40;True
liege;37.77.57.48;True
liege;37.77.57.56;True
liege;37.77.57.60;True
liege;37.77.57.64;True
liege;37.77.57.96;True
liege;37.77.57.104;True
liege;37.77.57.112;True
liege;37.77.57.120;True
liege;37.77.57.128;True
liege;37.77.57.192;True
liege;37.77.57.196;True
liege;37.77.57.200;True
liege;37.77.57.208;True
liege;37.77.57.224;True
liege;37.77.58.0;True
liege;37.77.58.64;True
liege;37.77.58.128;True
liege;37.77.59.0;True
liege;37.77.60.0;True
liege;37.77.64.0;True
liege;37.77.128.0;True
liege;37.78.0.0;True
liege;37.80.0.0;True
liege;37.96.0.0;True
liege;37.128.0.0;True
liege;38.0.0.0;True
liege;38.64.0.0;True
liege;38.96.0.0;True
liege;38.112.0.0;True
liege;38.120.0.0;True
liege;38.124.0.0;True
liege;38.125.0.0;True
liege;38.125.4.0;True
liege;38.125.5.0;True
liege;38.125.6.0;True
liege;38.125.8.0;True
liege;38.125.16.0;True
liege;38.125.32.0;True
liege;38.125.64.0;True
liege;38.125.128.0;True
liege;38.126.0.0;True
liege;38.128.0.0;True
liege;39.0.0.0;True
liege;40.0.0.0;True
liege;48.0.0.0;True
liege;64.0.0.0;True
liege;80.0.0.0;True
liege;84.0.0.0;True
liege;85.0.0.0;True
liege;85.128.0.0;True
liege;85.160.0.0;True
liege;85.176.0.0;True
liege;85.184.0.0;True
liege;85.184.2.0;True
liege;85.184.3.0;True
liege;85.184.3.32;True
liege;85.184.3.48;True
liege;85.184.3.64;True
liege;85.184.3.80;True
liege;85.184.3.96;True
liege;85.184.3.128;True
liege;85.184.3.192;True
liege;85.184.3.224;True
liege;85.184.3.240;True
liege;85.184.3.248;True
liege;85.184.3.252;True
liege;85.184.4.0;True
liege;85.184.8.0;True
liege;85.184.16.0;True
liege;85.184.32.0;True
liege;85.184.64.0;True
liege;85.184.66.0;True
liege;85.184.68.0;True
liege;85.184.72.0;True
liege;85.184.80.0;True
liege;85.184.96.0;True
liege;85.184.128.0;True
liege;85.184.160.0;True
liege;85.184.176.0;True
liege;85.184.185.0;True
liege;85.184.186.0;True
liege;85.184.188.0;True
liege;85.184.192.0;True
liege;85.185.0.0;True
liege;85.186.0.0;True
liege;85.188.0.0;True
liege;85.192.0.0;True
liege;86.0.0.0;True
liege;88.0.0.0;True
liege;96.0.0.0;True
liege;128.0.0.0;True
liege;144.0.0.0;True
liege;152.0.0.0;True
liege;153.0.0.0;True
liege;153.16.0.0;True
liege;153.16.1.0;True
liege;153.16.2.0;True
liege;153.16.3.0;True
liege;153.16.4.0;True
liege;153.16.5.0;True
liege;153.16.6.0;True
liege;153.16.7.0;True
liege;153.16.8.0;True
liege;153.16.9.0;True
liege;153.16.10.0;True
liege;153.16.11.0;True
liege;153.16.12.0;True
liege;153.16.12.64;True
liege;153.16.12.128;True
liege;153.16.12.192;True
liege;153.16.12.224;True
liege;153.16.12.240;True
liege;153.16.12.248;True
liege;153.16.13.0;True
liege;153.16.13.16;True
liege;153.16.13.48;True
liege;153.16.13.64;True
liege;153.16.13.80;True
liege;153.16.13.96;True
liege;153.16.13.112;True
liege;153.16.13.128;True
liege;153.16.13.144;True
liege;153.16.13.160;True
liege;153.16.13.176;True
liege;153.16.13.192;True
liege;153.16.13.208;True
liege;153.16.13.224;True
liege;153.16.13.240;True
liege;153.16.14.0;True
liege;153.16.15.0;True
liege;153.16.16.0;True
liege;153.16.17.0;True
liege;153.16.17.16;True
liege;153.16.17.32;True
liege;153.16.17.48;True
liege;153.16.17.64;True
liege;153.16.17.80;True
liege;153.16.17.96;True
liege;153.16.17.128;True
liege;153.16.17.144;True
liege;153.16.17.160;True
liege;153.16.17.192;True
liege;153.16.17.208;True
liege;153.16.17.224;True
liege;153.16.17.228;True
liege;153.16.17.232;True
liege;153.16.17.240;True
liege;153.16.18.0;True
liege;153.16.18.16;True
liege;153.16.18.32;True
liege;153.16.18.48;True
liege;153.16.18.64;True
liege;153.16.18.80;True
liege;153.16.18.96;True
liege;153.16.18.112;True
liege;153.16.18.128;True
liege;153.16.18.144;True
liege;153.16.18.160;True
liege;153.16.18.176;False
liege;153.16.18.192;True
liege;153.16.18.208;True
liege;153.16.18.224;True
liege;153.16.18.240;True
liege;153.16.19.0;True
liege;153.16.20.0;True
liege;153.16.21.0;True
liege;153.16.21.192;True
liege;153.16.21.193;True
liege;153.16.21.194;True
liege;153.16.21.195;True
liege;153.16.21.196;True
liege;153.16.21.197;True
liege;153.16.21.198;True
liege;153.16.21.199;True
liege;153.16.21.200;True
liege;153.16.21.201;True
liege;153.16.21.202;True
liege;153.16.21.203;True
liege;153.16.21.204;True
liege;153.16.21.205;True
liege;153.16.21.206;True
liege;153.16.21.207;True
liege;153.16.21.208;True
liege;153.16.21.209;True
liege;153.16.21.210;True
liege;153.16.21.211;True
liege;153.16.21.212;True
liege;153.16.21.213;True
liege;153.16.21.214;True
liege;153.16.21.216;True
liege;153.16.21.224;True
liege;153.16.22.0;True
liege;153.16.22.144;True
liege;153.16.22.145;True
liege;153.16.22.146;True
liege;153.16.22.192;True
liege;153.16.22.193;True
liege;153.16.22.194;True
liege;153.16.22.195;True
liege;153.16.22.196;True
liege;153.16.22.197;True
liege;153.16.22.198;True
liege;153.16.22.199;True
liege;153.16.22.200;True
liege;153.16.22.208;True
liege;153.16.22.209;True
liege;153.16.22.210;True
liege;153.16.22.211;True
liege;153.16.22.212;True
liege;153.16.22.213;True
liege;153.16.22.214;True
liege;153.16.22.215;True
liege;153.16.22.216;True
liege;153.16.22.217;True
liege;153.16.22.218;True
liege;153.16.22.220;True
liege;153.16.22.224;True
liege;153.16.23.0;True
liege;153.16.23.16;True
liege;153.16.23.32;True
liege;153.16.23.48;True
liege;153.16.23.64;True
liege;153.16.23.80;True
liege;153.16.23.96;True
liege;153.16.23.128;True
liege;153.16.24.0;True
liege;153.16.25.0;True
liege;153.16.25.16;True
liege;153.16.25.32;True
liege;153.16.25.48;True
liege;153.16.25.64;True
liege;153.16.25.80;True
liege;153.16.25.96;True
liege;153.16.25.112;True
liege;153.16.25.128;True
liege;153.16.25.144;True
liege;153.16.25.160;True
liege;153.16.25.176;True
liege;153.16.25.192;True
liege;153.16.25.224;False
liege;153.16.25.240;True
liege;153.16.26.0;True
liege;153.16.26.16;True
liege;153.16.26.32;True
liege;153.16.26.48;True
liege;153.16.26.80;True
liege;153.16.26.96;True
liege;153.16.26.112;True
liege;153.16.26.128;True
liege;153.16.26.144;True
liege;153.16.26.160;True
liege;153.16.26.176;True
liege;153.16.26.192;True
liege;153.16.26.208;True
liege;153.16.26.224;True
liege;153.16.26.240;True
liege;153.16.28.0;True
liege;153.16.29.0;True
liege;153.16.30.0;True
liege;153.16.30.16;True
liege;153.16.30.32;True
liege;153.16.30.48;True
liege;153.16.30.64;True
liege;153.16.30.80;True
liege;153.16.30.96;True
liege;153.16.30.112;True
liege;153.16.30.128;True
liege;153.16.30.144;True
liege;153.16.30.160;True
liege;153.16.30.164;True
liege;153.16.30.176;True
liege;153.16.30.192;True
liege;153.16.31.0;True
liege;153.16.31.16;True
liege;153.16.31.32;True
liege;153.16.31.64;True
liege;153.16.31.128;True
liege;153.16.32.0;False
liege;153.16.32.16;True
liege;153.16.32.32;True
liege;153.16.32.48;True
liege;153.16.32.64;True
liege;153.16.32.80;True
liege;153.16.32.96;True
liege;153.16.32.112;True
liege;153.16.32.128;True
liege;153.16.32.144;True
liege;153.16.32.160;True
liege;153.16.32.176;False
liege;153.16.32.192;True
liege;153.16.32.208;True
liege;153.16.32.224;True
liege;153.16.32.240;True
liege;153.16.33.0;True
liege;153.16.34.0;True
liege;153.16.35.0;True
liege;153.16.36.0;True
liege;153.16.37.0;True
liege;153.16.38.0;True
liege;153.16.38.128;True
liege;153.16.39.0;True
liege;153.16.40.0;True
liege;153.16.41.0;True
liege;153.16.42.0;True
liege;153.16.43.0;True
liege;153.16.43.16;True
liege;153.16.43.32;True
liege;153.16.43.48;True
liege;153.16.43.64;True
liege;153.16.43.128;True
liege;153.16.43.192;True
liege;153.16.43.224;True
liege;153.16.43.240;True
liege;153.16.44.0;True
liege;153.16.44.32;True
liege;153.16.44.48;True
liege;153.16.44.64;True
liege;153.16.44.80;True
liege;153.16.44.96;True
liege;153.16.44.112;True
liege;153.16.44.120;True
liege;153.16.44.128;True
liege;153.16.44.144;True
liege;153.16.44.160;False
liege;153.16.44.176;True
liege;153.16.44.192;True
liege;153.16.44.208;True
liege;153.16.44.224;True
liege;153.16.44.240;True
liege;153.16.45.0;True
liege;153.16.46.0;True
liege;153.16.47.0;False
liege;153.16.47.16;True
liege;153.16.47.32;True
liege;153.16.47.48;True
liege;153.16.47.64;True
liege;153.16.47.80;True
liege;153.16.47.96;True
liege;153.16.47.112;True
liege;153.16.47.128;True
liege;153.16.47.144;True
liege;153.16.47.160;True
liege;153.16.47.192;True
liege;153.16.47.208;True
liege;153.16.47.224;True
liege;153.16.47.240;True
liege;153.16.48.0;True
liege;153.16.48.16;True
liege;153.16.48.32;True
liege;153.16.48.64;True
liege;153.16.48.80;True
liege;153.16.48.96;True
liege;153.16.48.112;True
liege;153.16.48.128;True
liege;153.16.48.144;True
liege;153.16.48.160;True
liege;153.16.48.176;True
liege;153.16.48.192;True
liege;153.16.48.208;True
liege;153.16.48.224;False
liege;153.16.48.240;True
liege;153.16.49.0;True
liege;153.16.49.16;True
liege;153.16.49.32;True
liege;153.16.49.48;True
liege;153.16.49.64;True
liege;153.16.49.80;True
liege;153.16.49.96;True
liege;153.16.49.112;False
liege;153.16.49.128;True
liege;153.16.49.144;True
liege;153.16.49.160;True
liege;153.16.49.176;True
liege;153.16.49.192;True
liege;153.16.49.208;True
liege;153.16.49.224;True
liege;153.16.49.240;True
liege;153.16.50.0;True
liege;153.16.50.16;True
liege;153.16.50.32;True
liege;153.16.50.48;True
liege;153.16.50.64;True
liege;153.16.50.80;True
liege;153.16.50.96;True
liege;153.16.50.112;True
liege;153.16.50.128;True
liege;153.16.50.144;True
liege;153.16.50.160;True
liege;153.16.50.176;True
liege;153.16.50.192;True
liege;153.16.50.208;True
liege;153.16.50.224;True
liege;153.16.50.240;True
liege;153.16.51.0;True
liege;153.16.51.16;True
liege;153.16.51.32;True
liege;153.16.51.64;True
liege;153.16.51.128;True
liege;153.16.52.0;True
liege;153.16.52.64;True
liege;153.16.52.128;True
liege;153.16.53.0;True
liege;153.16.54.0;True
liege;153.16.56.0;True
liege;153.16.64.0;True
liege;153.16.66.64;True
liege;153.16.66.192;True
liege;153.16.66.208;True
liege;153.16.66.224;True
liege;153.16.67.0;True
liege;153.16.70.0;True
liege;153.16.70.16;True
liege;153.16.70.24;True
liege;153.16.70.64;True
liege;153.16.70.80;True
liege;153.16.70.96;True
liege;153.16.70.112;True
liege;153.16.70.128;True
liege;153.16.70.192;True
liege;153.16.71.0;True
liege;153.16.72.0;True
liege;153.16.74.0;True
liege;153.16.75.0;True
liege;153.16.76.0;True
liege;153.16.80.0;True
liege;153.16.96.0;True
liege;153.16.128.0;True
liege;153.16.160.0;True
liege;153.16.192.0;True
liege;153.17.0.0;True
liege;153.18.0.0;True
liege;153.20.0.0;True
liege;153.24.0.0;True
liege;153.32.0.0;True
liege;153.64.0.0;True
liege;153.128.0.0;True
liege;154.0.0.0;True
liege;156.0.0.0;True
liege;160.0.0.0;True
liege;192.0.0.0;True
liege;194.0.0.0;True
liege;194.128.0.0;True
liege;194.192.0.0;True
liege;194.224.0.0;True
liege;194.226.0.0;True
liege;194.226.128.0;True
liege;194.226.136.0;True
liege;194.226.138.0;True
liege;194.226.139.0;True
liege;194.226.140.0;True
liege;194.226.144.0;True
liege;194.226.160.0;True
liege;194.226.192.0;True
liege;194.227.0.0;True
liege;194.228.0.0;True
liege;194.232.0.0;True
liege;194.240.0.0;True
liege;195.0.0.0;True
liege;196.0.0.0;True
liege;198.0.0.0;True
liege;199.0.0.0;True
liege;199.64.0.0;True
liege;199.96.0.0;True
liege;199.112.0.0;True
liege;199.116.0.0;True
liege;199.118.0.0;True
liege;199.119.0.0;True
liege;199.119.64.0;True
liege;199.119.72.0;True
liege;199.119.73.0;True
liege;199.119.74.0;True
liege;199.119.75.0;True
liege;199.119.75.16;True
liege;199.119.75.32;True
liege;199.119.75.48;True
liege;199.119.75.112;True
liege;199.119.75.160;True
liege;199.119.75.192;True
liege;199.119.76.0;True
liege;199.119.80.0;True
liege;199.119.96.0;True
liege;199.119.128.0;True
liege;199.120.0.0;True
liege;199.128.0.0;True
liege;199.192.0.0;True
liege;199.208.0.0;True
liege;199.212.0.0;True
liege;199.212.64.0;True
liege;199.212.96.0;True
liege;199.212.112.0;True
liege;199.212.120.0;True
liege;199.212.124.0;True
liege;199.212.125.0;True
liege;199.212.126.0;True
liege;199.212.128.0;True
liege;199.213.0.0;True
liege;199.214.0.0;True
liege;199.216.0.0;True
liege;199.224.0.0;True
liege;200.0.0.0;True
liege;204.0.0.0;True
liege;205.0.0.0;True
liege;205.128.0.0;True
liege;205.192.0.0;True
liege;205.200.0.0;True
liege;205.202.0.0;True
liege;205.203.0.0;True
liege;205.203.128.0;True
liege;205.203.192.0;True
liege;205.203.200.0;True
liege;205.203.201.0;True
liege;205.203.202.0;True
liege;205.203.203.0;True
liege;205.203.204.0;True
liege;205.203.208.0;True
liege;205.203.224.0;True
liege;205.204.0.0;True
liege;205.208.0.0;True
liege;205.224.0.0;True
liege;206.0.0.0;True
liege;208.0.0.0;True
liege;216.0.0.0;True
liege;217.0.0.0;True
liege;217.16.0.0;True
liege;217.24.0.0;True
liege;217.28.0.0;True
liege;217.30.0.0;True
liege;217.30.64.0;True
liege;217.30.80.0;True
liege;217.30.88.0;True
liege;217.30.92.0;True
liege;217.30.94.0;True
liege;217.30.94.1;True
liege;217.30.94.2;True
liege;217.30.94.16;True
liege;217.30.94.17;True
liege;217.30.94.18;True
liege;217.30.94.32;True
liege;217.30.94.33;True
liege;217.30.94.34;True
liege;217.30.94.48;True
liege;217.30.94.49;True
liege;217.30.94.50;True
liege;217.30.94.64;True
liege;217.30.94.65;True
liege;217.30.94.66;True
liege;217.30.94.80;True
liege;217.30.94.81;True
liege;217.30.94.82;True
liege;217.30.94.96;True
liege;217.30.94.97;True
liege;217.30.94.98;True
liege;217.30.94.112;True
liege;217.30.94.113;True
liege;217.30.94.114;True
liege;217.30.94.128;True
liege;217.30.94.129;True
liege;217.30.94.130;True
liege;217.30.94.144;True
liege;217.30.94.145;True
liege;217.30.94.146;True
liege;217.30.94.160;True
liege;217.30.94.161;True
liege;217.30.94.162;True
liege;217.30.94.176;True
liege;217.30.94.177;True
liege;217.30.94.178;True
liege;217.30.94.192;True
liege;217.30.94.193;True
liege;217.30.94.194;True
liege;217.30.94.208;True
liege;217.30.94.209;True
liege;217.30.94.210;True
liege;217.30.94.224;True
liege;217.30.94.225;True
liege;217.30.94.226;True
liege;217.30.94.240;True
liege;217.30.94.241;True
liege;217.30.94.242;True
liege;217.30.95.0;True
liege;217.30.96.0;True
liege;217.30.128.0;True
liege;217.31.0.0;True
liege;217.32.0.0;True
liege;217.64.0.0;True
liege;217.128.0.0;True
liege;218.0.0.0;True
liege;220.0.0.0;True
liege;224.0.0.0;True
